步骤	当前栈	输入串	动作	状态栈	ACTION	GOTO	
1	# function	int ID ( int ID ......	shift	I0 I11	s11		
2	# function int	ID ( int ID , ......	shift	I0 I11 I8	s8		
3	# function type_specifier	ID ( int ID , ......	reduce(type_specifier->int ,['#'])	I0 I11 I17	r39	I17	
4	# function type_specifier ID	( int ID , int ......	shift	I0 I11 I17 I41	s41		
5	# function type_specifier ID (	int ID , int ID ......	shift	I0 I11 I17 I41 I79	s79		
6	...... function type_specifier ID ( int	ID , int ID ) ......	shift	I0 I11 I17 I41 I79 I8	s8		
7	...... function type_specifier ID ( type_specifier	ID , int ID ) ......	reduce(type_specifier->int ,['#'])	I0 I11 I17 I41 I79 I119	r39	I119	
8	...... type_specifier ID ( type_specifier ID	, int ID ) { ......	shift	I0 I11 I17 I41 I79 I119 I138	s138		
9	...... function type_specifier ID ( function_declaration	, int ID ) { ......	reduce(function_declaration->type_specifier ID ,['#'])	I0 I11 I17 I41 I79 I120	r47	I120	
10	...... type_specifier ID ( function_declaration ,	int ID ) { if ......	shift	I0 I11 I17 I41 I79 I120 I139	s139		
11	...... ID ( function_declaration , int	ID ) { if ( ......	shift	I0 I11 I17 I41 I79 I120 I139 I8	s8		
12	...... ID ( function_declaration , type_specifier	ID ) { if ( ......	reduce(type_specifier->int ,['#'])	I0 I11 I17 I41 I79 I120 I139 I119	r39	I119	
13	...... ( function_declaration , type_specifier ID	) { if ( ID ......	shift	I0 I11 I17 I41 I79 I120 I139 I119 I138	s138		
14	...... ID ( function_declaration , function_declaration	) { if ( ID ......	reduce(function_declaration->type_specifier ID ,['#'])	I0 I11 I17 I41 I79 I120 I139 I176	r47	I176	
15	...... ( function_declaration , function_declaration function_declaration_suffix	) { if ( ID ......	reduce(function_declaration_suffix->$ ,['#'])	I0 I11 I17 I41 I79 I120 I139 I176 I200	r49	I200	
16	...... type_specifier ID ( function_declaration function_declaration_suffix	) { if ( ID ......	reduce(function_declaration_suffix->, function_declaration function_declaration_suffix ,['#'])	I0 I11 I17 I41 I79 I120 I140	r48	I140	
17	...... function type_specifier ID ( function_declaration_list	) { if ( ID ......	reduce(function_declaration_list->function_declaration function_declaration_suffix ,['#'])	I0 I11 I17 I41 I79 I121	r50	I121	
