步骤	当前栈	输入串	动作	状态栈	ACTION	GOTO	
1	# function	int IDENTIFIER ( int IDENTIFIER ......	shift	I0 I8	s8		
2	# function int	IDENTIFIER ( int IDENTIFIER , ......	shift	I0 I8 I6	s6		
3	# function type_specifier	IDENTIFIER ( int IDENTIFIER , ......	reduce(type_specifier->int ,['#'])	I0 I8 I14	r19	I14	
4	# function type_specifier IDENTIFIER	( int IDENTIFIER , int ......	shift	I0 I8 I14 I38	s38		
5	# function type_specifier IDENTIFIER (	int IDENTIFIER , int IDENTIFIER ......	shift	I0 I8 I14 I38 I76	s76		
6	...... function type_specifier IDENTIFIER ( int	IDENTIFIER , int IDENTIFIER ) ......	shift	I0 I8 I14 I38 I76 I6	s6		
7	...... function type_specifier IDENTIFIER ( type_specifier	IDENTIFIER , int IDENTIFIER ) ......	reduce(type_specifier->int ,['#'])	I0 I8 I14 I38 I76 I118	r19	I118	
8	...... type_specifier IDENTIFIER ( type_specifier IDENTIFIER	, int IDENTIFIER ) { ......	shift	I0 I8 I14 I38 I76 I118 I138	s138		
9	...... function type_specifier IDENTIFIER ( function_declaration	, int IDENTIFIER ) { ......	reduce(function_declaration->type_specifier IDENTIFIER ,['#'])	I0 I8 I14 I38 I76 I117	r51	I117	
10	...... type_specifier IDENTIFIER ( function_declaration ,	int IDENTIFIER ) { if ......	shift	I0 I8 I14 I38 I76 I117 I136	s136		
11	...... IDENTIFIER ( function_declaration , int	IDENTIFIER ) { if ( ......	shift	I0 I8 I14 I38 I76 I117 I136 I6	s6		
12	...... IDENTIFIER ( function_declaration , type_specifier	IDENTIFIER ) { if ( ......	reduce(type_specifier->int ,['#'])	I0 I8 I14 I38 I76 I117 I136 I118	r19	I118	
13	...... ( function_declaration , type_specifier IDENTIFIER	) { if ( IDENTIFIER ......	shift	I0 I8 I14 I38 I76 I117 I136 I118 I138	s138		
14	...... IDENTIFIER ( function_declaration , function_declaration	) { if ( IDENTIFIER ......	reduce(function_declaration->type_specifier IDENTIFIER ,['#'])	I0 I8 I14 I38 I76 I117 I136 I173	r51	I173	
