	#	;	+	-	*	/	%	<	>	==	!=	while	(	)	for	=	$	IDENTIFIER	int	{	}	if	else	,	continue	break	return	function	number	expression_statement	function_implement	operator	iteration_statement	declaration_assign	declaration_init	external_declaration	type_specifier	compound_statement	assignment_expression_list	selection_statement	start	statement	constant_expression	arithmetic_expression	assignment_expression	function_declaration_suffix	function_declaration_list	assignment_expression_profix	declaration	expression_profix	declaration_init_list	jump_statement	function_definition	function_declaration	expression_list	assignment_operator	statement_list	function_expression	expression	primary_expression	
I0	r25	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s6	 	 	 	 	 	 	 	 	s8	 	 	I3	 	 	 	 	I2	I5	 	 	 	I1	 	 	 	 	 	 	 	I4	 	 	 	I7	 	 	 	 	 	 	 	
I1	acc	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I2	r25	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s6	 	 	 	 	 	 	 	 	s8	 	 	I3	 	 	 	 	I2	I5	 	 	 	I9	 	 	 	 	 	 	 	I4	 	 	 	I7	 	 	 	 	 	 	 	
I3	r17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r17	 	 	 	 	 	 	 	 	r17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I4	r18	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r18	 	 	 	 	 	 	 	 	r18	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r19	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I9	r24	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
